Number,Date&Time,ms,CH1,CH2,CH3
NO.,Time,ms,degC,degC,degC
316,22/01/2021 11:10,500,22.4,21.6,23.3
317,22/01/2021 11:10,0,22.4,21.7,23.3
318,22/01/2021 11:10,500,22.4,21.6,23.3
319,22/01/2021 11:10,0,22.4,21.6,23.3
320,22/01/2021 11:10,500,22.4,21.7,23.3
321,22/01/2021 11:11,0,22.5,21.7,23.3
322,22/01/2021 11:11,500,22.5,21.7,23.3
323,22/01/2021 11:11,0,22.5,21.8,23.2
324,22/01/2021 11:11,500,22.5,21.7,23.2
325,22/01/2021 11:11,0,22.5,21.8,23.3
326,22/01/2021 11:11,500,22.5,21.7,23.3
327,22/01/2021 11:11,0,22.5,21.8,23.2
328,22/01/2021 11:11,500,22.5,21.8,23.2
329,22/01/2021 11:11,0,22.5,21.8,23.2
330,22/01/2021 11:11,500,22.5,21.8,23.2
331,22/01/2021 11:11,0,22.5,21.8,23.2
332,22/01/2021 11:11,500,22.6,21.8,23.3
333,22/01/2021 11:11,0,22.6,21.8,23.3
334,22/01/2021 11:11,500,22.6,21.9,23.3
335,22/01/2021 11:11,0,22.6,21.9,23.3
336,22/01/2021 11:11,500,22.6,21.9,23.4
337,22/01/2021 11:11,0,22.6,21.9,23.4
338,22/01/2021 11:11,500,22.7,21.9,23.4
339,22/01/2021 11:11,0,22.7,21.9,23.6
340,22/01/2021 11:11,500,22.7,21.9,23.4
341,22/01/2021 11:11,0,22.6,21.9,23.4
342,22/01/2021 11:11,500,22.7,21.9,23.4
343,22/01/2021 11:11,0,22.7,22,23.4
344,22/01/2021 11:11,500,22.7,21.9,23.4
345,22/01/2021 11:11,0,22.8,22,23.4
346,22/01/2021 11:11,500,22.8,22,23.4
347,22/01/2021 11:11,0,22.8,22,23.4
348,22/01/2021 11:11,500,22.8,22,23.4
349,22/01/2021 11:11,0,22.8,22,23.4
350,22/01/2021 11:11,500,22.8,22,23.6
351,22/01/2021 11:11,0,22.8,22,23.6
352,22/01/2021 11:11,500,22.8,22,23.6
353,22/01/2021 11:11,0,22.8,22.1,23.6
354,22/01/2021 11:11,500,22.9,22.1,23.6
355,22/01/2021 11:11,0,22.9,22.1,23.6
356,22/01/2021 11:11,500,22.9,22.1,23.6
357,22/01/2021 11:11,0,22.8,22.1,23.6
358,22/01/2021 11:11,500,22.9,22.1,23.7
359,22/01/2021 11:11,0,23,22.1,23.8
360,22/01/2021 11:11,500,22.9,22.2,23.8
361,22/01/2021 11:11,0,23,22.1,23.8
362,22/01/2021 11:11,500,23,22.1,23.8
363,22/01/2021 11:11,0,23,22.1,24.3
364,22/01/2021 11:11,500,23.2,22.2,25.7
365,22/01/2021 11:11,0,23.4,22.3,27
366,22/01/2021 11:11,500,23.8,22.3,28.4
367,22/01/2021 11:11,0,24.2,22.3,29.8
368,22/01/2021 11:11,500,24.6,22.3,31.4
369,22/01/2021 11:11,0,25.1,22.4,32.9
370,22/01/2021 11:11,500,25.6,22.4,34.2
371,22/01/2021 11:11,0,26.1,22.4,35.6
372,22/01/2021 11:11,500,26.7,22.5,37.2
373,22/01/2021 11:11,0,27.2,22.5,38.5
374,22/01/2021 11:11,500,27.8,22.5,40
375,22/01/2021 11:11,0,28.3,22.5,41.4
376,22/01/2021 11:11,500,29,22.5,42.7
377,22/01/2021 11:11,0,29.5,22.6,44
378,22/01/2021 11:11,500,30.2,22.6,45.2
379,22/01/2021 11:11,0,30.8,22.6,46.3
380,22/01/2021 11:11,500,31.4,22.7,47.5
381,22/01/2021 11:11,0,32,22.7,48.7
382,22/01/2021 11:11,500,32.6,22.8,49.8
383,22/01/2021 11:11,0,33.2,22.8,50.8
384,22/01/2021 11:11,500,33.9,22.8,51.7
385,22/01/2021 11:11,0,34.5,22.8,52.8
386,22/01/2021 11:11,500,35.2,22.8,53.5
387,22/01/2021 11:11,0,35.8,22.9,54.3
388,22/01/2021 11:11,500,36.4,22.8,55.4
389,22/01/2021 11:11,0,37.1,23,56.6
390,22/01/2021 11:11,500,37.7,23,57.6
391,22/01/2021 11:11,0,38.3,23,58.6
392,22/01/2021 11:11,500,39,23,59.5
393,22/01/2021 11:11,0,39.6,23.1,60.6
394,22/01/2021 11:11,500,40.2,23.1,61.6
395,22/01/2021 11:11,0,40.9,23.1,62.3
396,22/01/2021 11:11,500,41.5,23.1,62.7
397,22/01/2021 11:11,0,42.1,23.1,63.3
398,22/01/2021 11:11,500,42.8,23.1,64.2
399,22/01/2021 11:11,0,43.4,23.1,65
400,22/01/2021 11:11,500,44,23.1,65.9
401,22/01/2021 11:11,0,44.6,23.2,66.8
402,22/01/2021 11:11,500,45.2,23.3,67.5
403,22/01/2021 11:11,0,45.8,23.3,68.2
404,22/01/2021 11:11,500,46.5,23.4,68.4
405,22/01/2021 11:11,0,47.2,23.4,69.3
406,22/01/2021 11:11,500,47.8,23.4,70.2
407,22/01/2021 11:11,0,48.4,23.4,70.9
408,22/01/2021 11:11,500,49,23.5,71.4
409,22/01/2021 11:11,0,49.6,23.5,72.3
410,22/01/2021 11:11,500,50.2,23.6,72.9
411,22/01/2021 11:11,0,50.9,23.6,73.6
412,22/01/2021 11:11,500,51.4,23.6,74
413,22/01/2021 11:11,0,52.1,23.6,74.4
414,22/01/2021 11:11,500,52.7,23.6,75.2
415,22/01/2021 11:11,0,53.3,23.6,76.2
416,22/01/2021 11:11,500,53.9,23.6,76.6
417,22/01/2021 11:11,0,54.5,23.6,76.4
418,22/01/2021 11:11,500,55.2,23.7,76.3
419,22/01/2021 11:11,0,55.8,23.7,76.6
420,22/01/2021 11:11,500,56.5,23.8,76.9
421,22/01/2021 11:11,0,57.1,23.8,77.8
422,22/01/2021 11:11,500,57.7,23.8,78.7
423,22/01/2021 11:11,0,58.3,23.9,79.5
424,22/01/2021 11:11,500,58.9,23.9,80.3
425,22/01/2021 11:11,0,59.5,23.9,81
426,22/01/2021 11:11,500,60.1,23.9,81.5
427,22/01/2021 11:11,0,60.7,23.9,81.4
428,22/01/2021 11:11,500,61.4,24,81.3
429,22/01/2021 11:11,0,62,24,81.8
430,22/01/2021 11:11,500,62.6,24.1,81.8
431,22/01/2021 11:11,0,63.2,24.1,81.8
432,22/01/2021 11:11,500,63.9,24.1,82.2
433,22/01/2021 11:11,0,64.5,24.1,83.2
434,22/01/2021 11:11,500,65.1,24.2,83.7
435,22/01/2021 11:11,0,65.8,24.2,83.8
436,22/01/2021 11:11,500,66.2,24.2,84.3
437,22/01/2021 11:11,0,66.9,24.2,84.4
438,22/01/2021 11:11,500,67.5,24.3,84.4
439,22/01/2021 11:11,0,68.1,24.3,84.9
440,22/01/2021 11:11,500,68.8,24.3,85.6
441,22/01/2021 11:12,0,69.3,24.3,86.3
442,22/01/2021 11:12,500,69.9,24.3,86.8
443,22/01/2021 11:12,0,70.6,24.4,87.1
444,22/01/2021 11:12,500,71.1,24.4,87.4
445,22/01/2021 11:12,0,71.7,24.4,87.7
446,22/01/2021 11:12,500,72.4,24.4,87.6
447,22/01/2021 11:12,0,73,24.4,87.4
448,22/01/2021 11:12,500,73.5,24.5,87.4
449,22/01/2021 11:12,0,74.2,24.6,87.5
450,22/01/2021 11:12,500,74.8,24.7,87.8
451,22/01/2021 11:12,0,75.4,24.7,88.6
452,22/01/2021 11:12,500,76,24.7,89.6
453,22/01/2021 11:12,0,76.6,24.7,90.1
454,22/01/2021 11:12,500,77.2,24.8,90
455,22/01/2021 11:12,0,77.8,24.8,89.7
456,22/01/2021 11:12,500,78.4,24.8,89.3
457,22/01/2021 11:12,0,79,24.9,89.3
458,22/01/2021 11:12,500,79.6,24.9,88.8
459,22/01/2021 11:12,0,80.2,24.9,88.1
460,22/01/2021 11:12,500,80.8,25.1,87.6
461,22/01/2021 11:12,0,81.3,25.1,87.2
462,22/01/2021 11:12,500,82,25.1,87
463,22/01/2021 11:12,0,82.5,25.1,86.8
464,22/01/2021 11:12,500,83.2,25.2,86.6
465,22/01/2021 11:12,0,83.7,25.2,86.7
466,22/01/2021 11:12,500,84.4,25.2,86.9
467,22/01/2021 11:12,0,84.8,25.2,87
468,22/01/2021 11:12,500,85.4,25.2,87.4
469,22/01/2021 11:12,0,86.1,25.2,87.7
470,22/01/2021 11:12,500,86.6,25.3,88.1
471,22/01/2021 11:12,0,87.1,25.3,88.6
472,22/01/2021 11:12,500,87.7,25.4,89.2
473,22/01/2021 11:12,0,88.3,25.4,89.6
474,22/01/2021 11:12,500,88.8,25.4,89.5
475,22/01/2021 11:12,0,89.4,25.4,90
476,22/01/2021 11:12,500,90,25.4,90
477,22/01/2021 11:12,0,90.5,25.4,90.3
478,22/01/2021 11:12,500,91.1,25.5,90.5
479,22/01/2021 11:12,0,91.6,25.6,90.8
480,22/01/2021 11:12,500,92.2,25.6,91.2
481,22/01/2021 11:12,0,92.8,25.6,91.1
482,22/01/2021 11:12,500,93.3,25.6,91.4
483,22/01/2021 11:12,0,93.8,25.6,91.9
484,22/01/2021 11:12,500,94.4,25.7,92.2
485,22/01/2021 11:12,0,95,25.7,92.6
486,22/01/2021 11:12,500,95.5,25.7,92.6
487,22/01/2021 11:12,0,96.1,25.7,92.6
488,22/01/2021 11:12,500,96.6,25.8,93
489,22/01/2021 11:12,0,97.2,25.8,92.7
490,22/01/2021 11:12,500,97.7,25.9,92.8
491,22/01/2021 11:12,0,98.2,25.8,93
492,22/01/2021 11:12,500,98.7,25.8,92.8
493,22/01/2021 11:12,0,99.2,25.9,92.5
494,22/01/2021 11:12,500,99.8,25.9,92.2
495,22/01/2021 11:12,0,100.3,25.9,92.6
496,22/01/2021 11:12,500,100.8,25.9,93.3
497,22/01/2021 11:12,0,101.3,25.9,94.3
498,22/01/2021 11:12,500,101.9,25.9,94.6
499,22/01/2021 11:12,0,102.4,25.9,94.7
500,22/01/2021 11:12,500,103,26.1,94.8
501,22/01/2021 11:12,0,103.6,26.1,94.4
502,22/01/2021 11:12,500,104.1,26.1,94
503,22/01/2021 11:12,0,104.6,26.1,94
504,22/01/2021 11:12,500,105.2,26.2,94.3
505,22/01/2021 11:12,0,105.7,26.2,95.2
506,22/01/2021 11:12,500,106.3,26.2,95.5
507,22/01/2021 11:12,0,106.8,26.2,96.1
508,22/01/2021 11:12,500,107.3,26.2,96.7
509,22/01/2021 11:12,0,107.8,26.2,97
510,22/01/2021 11:12,500,108.2,26.3,97
511,22/01/2021 11:12,0,108.8,26.3,97.7
512,22/01/2021 11:12,500,109.3,26.3,98.1
513,22/01/2021 11:12,0,109.8,26.3,98.6
514,22/01/2021 11:12,500,110.3,26.4,98.7
515,22/01/2021 11:12,0,110.8,26.4,98.3
516,22/01/2021 11:12,500,111.4,26.4,97.8
517,22/01/2021 11:12,0,111.9,26.4,97.8
518,22/01/2021 11:12,500,112.4,26.5,97.6
519,22/01/2021 11:12,0,112.9,26.5,97.2
520,22/01/2021 11:12,500,113.4,26.5,97
521,22/01/2021 11:12,0,113.9,26.5,97.4
522,22/01/2021 11:12,500,114.4,26.6,97.9
523,22/01/2021 11:12,0,114.9,26.7,98.6
524,22/01/2021 11:12,500,115.5,26.7,99.3
525,22/01/2021 11:12,0,116,26.7,99.5
526,22/01/2021 11:12,500,116.5,26.7,98.6
527,22/01/2021 11:12,0,116.9,26.7,97.8
528,22/01/2021 11:12,500,117.4,26.8,97
529,22/01/2021 11:12,0,117.9,26.8,96.8
530,22/01/2021 11:12,500,118.4,26.9,96.9
531,22/01/2021 11:12,0,118.9,26.9,97
532,22/01/2021 11:12,500,119.4,26.9,97.3
533,22/01/2021 11:12,0,119.9,26.9,97.3
534,22/01/2021 11:12,500,120.4,26.9,97.2
